OrderLineID,Order_ID,product_id,Qty Ordered,Unit Price at Sale,Line Total,Currency
OL500119,ORD-103169,PRD2048,2,88.38,176.76,NGN
OL500120,ORD-105791,PRD2159,3,134.4,403.2,US Dollar
OL500121,ORD-100412,PRD2004,0,436.12,,usd
OL500122,ORD-102534,PRD2038,2,95.03,190.06,usd
OL500123,ORD-107795,PRD2137,4,303.26,1213.04,GBP
OL500124,ORD-105291,PRD2147,2,202.85,405.7,US Dollar
OL500125,ORD-108203,PRD2227,5,301.64,1508.2,US Dollar
OL500126,ORD-102872,PRD2200,3,310.64,931.92,NGN
OL500127,ORD-106269,PRD2175,5,398.73,1993.65,NGN
OL500128,ORD-108521,PRD2072,2,$320.13,640.26,usd
OL500129,ORD-108764,PRD2128,-1,$426.06,,USD
OL500130,ORD-101124,PRD2169,2,$232.12,464.24,USD
OL500131,ORD-104496,PRD2014,2,$75.42,150.84,NGN
OL500132,ORD-105435,PRD2231,1,338.61,338.61,EUR
OL500133,ORD-100894,PRD2215,0,198.86,,NGN
OL500134,ORD-102038,PRD2134,999,223.62,223396.38,GBP
OL500135,ORD-106588,PRD2061,2,304.47,608.94,NGN
OL500136,ORD-104451,PRD2218,4,$494.39,1977.56,USD
OL500137,ORD-105248,PRD2008,4,328.55,1314.2,GBP
OL500138,ORD-105666,PRD2216,2,436.29,872.58,NGN
OL500139,ORD-101636,PRD2121,5,20.07,100.35,usd
OL500140,ORD-107042,PRD2250,2,146.3,292.6,GBP
OL500141,ORD-108285,PRD2213,0,2.05,,NGN
OL500142,ORD-108614,PRD2138,3,440.09,1320.27,GBP
OL500143,ORD-100304,PRD2232,4,164.26,657.04,USD
OL500144,ORD-103132,PRD2167,2,495.48,990.96,US Dollar
OL500145,ORD-107483,PRD2141,999,307.62,307312.38,GBP
OL500146,ORD-107742,PRD2207,2,445.06,890.12,EUR
OL500147,ORD-107231,PRD2101,3,369.14,1107.42,GBP
OL500148,ORD-108756,PRD2162,2,205.19,410.38,USD
OL500149,ORD-100192,PRD2049,2,70.5,141.0,NGN
OL500150,ORD-105568,PRD2217,3,3.02,9.06,usd
OL500151,ORD-103356,PRD2223,2,176.66,353.32,GBP
OL500152,ORD-103990,PRD2204,3,450.09,1350.27,US Dollar
OL500153,ORD-107694,PRD2117,3,72.99,218.97,US Dollar
OL500154,ORD-103444,PRD2229,4,158.08,632.32,USD
OL500155,ORD-106117,PRD2206,3,108.89,326.67,usd
OL500156,ORD-100882,PRD2006,5,$8.2,41.0,GBP
OL500157,ORD-101513,PRD2195,1,26.9,26.9,GBP
OL500158,ORD-102376,PRD2016,3,22.5,67.5,USD
OL500159,ORD-106157,PRD2229,1,357.95,357.95,US Dollar
OL500160,ORD-104273,PRD2203,3,275.46,826.38,EUR
OL500161,ORD-101689,PRD2223,3,130.95,392.85,usd
OL500162,ORD-105970,PRD2108,0,73.8,,NGN
OL500163,ORD-102350,PRD2010,4,341.19,1364.76,US Dollar
OL500164,ORD-108511,PRD2117,2,119.77,239.54,NGN
OL500165,ORD-103550,PRD2076,2,201.2,402.4,NGN
OL500166,ORD-100871,PRD2155,5,301.72,1508.6,USD
OL500167,ORD-100673,PRD2008,-1,491.15,,GBP
OL500168,ORD-103557,PRD2234,4,472.95,1891.8,NGN
OL500169,ORD-108389,PRD2061,999,402.54,402137.46,EUR
OL500170,ORD-103734,PRD2243,3,17.11,51.33,usd
OL500171,ORD-103647,PRD2120,2,284.74,569.48,usd
OL500172,ORD-102150,PRD2104,2,57.3,114.6,US Dollar
OL500173,ORD-105304,PRD2018,3,$5.0,15.0,GBP
OL500174,ORD-107353,PRD2215,5,191.53,957.65,EUR
OL500175,ORD-103645,PRD2228,-1,279.29,,NGN
OL500176,ORD-102150,PRD2055,1,362.37,362.37,NGN
OL500177,ORD-104475,PRD2227,5,394.5,1972.5,USD
OL500178,ORD-104751,PRD2021,3,261.76,785.28,usd
OL500179,ORD-102017,PRD2070,0,38.31,,usd
OL500180,ORD-103739,PRD2166,4,25.53,102.12,GBP
OL500181,ORD-105806,PRD2035,4,370.77,1483.08,US Dollar
OL500182,ORD-108792,PRD2115,5,43.4,217.0,usd
OL500183,ORD-100005,PRD2235,0,320.79,,US Dollar
OL500184,ORD-102740,PRD2153,1,472.16,472.16,GBP
OL500185,ORD-103874,PRD2245,3,313.92,941.76,USD
OL500186,ORD-102516,PRD2235,2,125.78,251.56,US Dollar
OL500187,ORD-102544,PRD2029,2,388.61,777.22,GBP
OL500188,ORD-104501,PRD2013,3,362.13,1086.39,US Dollar
OL500189,ORD-102603,PRD2035,0,379.46,,usd
OL500190,ORD-108994,PRD2171,4,198.53,794.12,US Dollar
OL500191,ORD-100771,PRD2201,5,103.11,515.55,NGN
OL500192,ORD-101941,PRD2048,3,76.14,228.42,GBP
OL500193,ORD-102536,PRD2105,999,167.24,167072.76,EUR
OL500194,ORD-106580,PRD2199,0,25.58,,usd
OL500195,ORD-102511,PRD2089,5,438.7,2193.5,NGN
OL500196,ORD-103154,PRD2010,4,$234.4,937.6,EUR
OL500197,ORD-108273,PRD2084,1,132.41,132.41,USD
OL500198,ORD-107123,PRD2198,2,171.97,343.94,GBP
OL500199,ORD-100230,PRD2173,1,$125.77,125.77,NGN
OL500200,ORD-105514,PRD2089,3,379.1,1137.3,usd
OL500201,ORD-103809,PRD2113,2,270.22,540.44,GBP
OL500202,ORD-106598,PRD2108,4,17.81,71.24,USD
OL500203,ORD-103652,PRD2082,2,467.66,935.32,NGN
OL500204,ORD-108070,PRD2089,3,315.71,947.13,GBP
OL500205,ORD-105531,PRD2135,-1,45.83,,US Dollar
OL500206,ORD-103472,PRD2172,4,31.68,126.72,NGN
OL500207,ORD-108930,PRD2073,0,383.16,,USD
OL500208,ORD-104467,PRD2016,1,401.62,401.62,usd
OL500209,ORD-101118,PRD2092,2,303.56,607.12,GBP
OL500210,ORD-103601,PRD2046,1,136.89,136.89,EUR
OL500211,ORD-107140,PRD2170,2,371.04,742.08,EUR
OL500212,ORD-105977,PRD2211,-1,269.08,,USD
OL500213,ORD-104511,PRD2188,1,290.06,290.06,US Dollar
OL500214,ORD-102938,PRD2077,0,461.51,,US Dollar
OL500215,ORD-102514,PRD2072,999,$258.78,258521.22,NGN
OL500216,ORD-104735,PRD2056,4,424.53,1698.12,USD
OL500217,ORD-102253,PRD2175,0,$294.56,,US Dollar
OL500218,ORD-101684,PRD2031,-1,309.49,,USD
OL500219,ORD-100677,PRD2012,2,347.74,695.48,USD
OL500220,ORD-100602,PRD2065,4,335.86,1343.44,US Dollar
OL500221,ORD-106152,PRD2028,5,310.04,1550.2,usd
OL500222,ORD-104594,PRD2052,3,$427.33,1281.99,NGN
OL500223,ORD-105645,PRD2151,4,$309.13,1236.52,EUR
OL500224,ORD-104859,PRD2056,3,416.27,1248.81,usd
OL500225,ORD-107423,PRD2017,1,289.83,289.83,EUR
OL500226,ORD-102638,PRD2041,0,$272.08,,GBP
OL500227,ORD-103893,PRD2242,999,132.31,132177.69,USD
OL500228,ORD-106218,PRD2136,5,164.39,821.95,EUR
OL500229,ORD-108500,PRD2099,3,90.31,270.93,usd
OL500230,ORD-106041,PRD2027,0,330.49,,usd
OL500231,ORD-100356,PRD2217,3,$482.57,1447.71,NGN
OL500232,ORD-101339,PRD2100,2,155.36,310.72,NGN
OL500233,ORD-100030,PRD2043,-1,214.01,,NGN
OL500234,ORD-104154,PRD2093,999,125.15,125024.85,EUR
OL500235,ORD-105653,PRD2068,1,407.15,407.15,US Dollar
OL500236,ORD-103000,PRD2167,-1,$320.76,,GBP
OL500237,ORD-106327,PRD2125,-1,161.63,,GBP
OL500238,ORD-101802,PRD2185,4,428.15,1712.6,EUR
OL500239,ORD-105155,PRD2217,2,$278.18,556.36,GBP
OL500240,ORD-102807,PRD2132,4,490.94,1963.76,US Dollar
OL500241,ORD-103164,PRD2245,2,75.57,151.14,GBP
OL500242,ORD-106368,PRD2037,5,272.69,1363.45,GBP
OL500243,ORD-104614,PRD2038,0,184.05,,NGN
OL500244,ORD-100065,PRD2105,4,47.53,190.12,NGN
OL500245,ORD-107366,PRD2171,5,325.42,1627.1,USD
OL500246,ORD-100225,PRD2053,0,257.35,,US Dollar
OL500247,ORD-106978,PRD2186,999,363.14,362776.86,US Dollar
OL500248,ORD-103407,PRD2063,1,$422.36,422.36,USD
OL500249,ORD-108156,PRD2025,4,20.34,81.36,EUR
OL500250,ORD-102785,PRD2207,1,290.1,290.1,USD
OL500251,ORD-108683,PRD2100,4,$5.78,23.12,EUR
OL500252,ORD-107756,PRD2183,4,149.78,599.12,EUR
OL500253,ORD-100192,PRD2039,1,328.08,328.08,NGN
OL500254,ORD-105025,PRD2158,1,118.43,118.43,EUR
OL500255,ORD-104462,PRD2021,5,148.15,740.75,usd
OL500256,ORD-108251,PRD2130,-1,354.87,,GBP
OL500257,ORD-100459,PRD2157,0,78.3,,USD
OL500258,ORD-104093,PRD2203,3,475.12,1425.36,US Dollar
OL500259,ORD-100288,PRD2056,2,315.99,631.98,USD
OL500260,ORD-105030,PRD2020,3,55.86,167.58,USD
OL500261,ORD-107551,PRD2171,2,354.75,709.5,usd
OL500262,ORD-107814,PRD2227,999,132.09,131957.91,usd
OL500263,ORD-106147,PRD2048,4,38.54,154.16,USD
OL500264,ORD-101566,PRD2231,-1,208.52,,NGN
OL500265,ORD-107980,PRD2165,0,462.17,,GBP
OL500266,ORD-108373,PRD2216,5,150.36,751.8,GBP
OL500267,ORD-101498,PRD2187,4,293.09,1172.36,EUR
OL500268,ORD-102935,PRD2145,1,80.04,80.04,NGN
OL500269,ORD-108261,PRD2122,2,$363.77,727.54,US Dollar
OL500270,ORD-100531,PRD2137,-1,317.85,,USD
OL500271,ORD-103373,PRD2064,4,$82.13,328.52,NGN
OL500272,ORD-105844,PRD2100,0,351.12,,usd
OL500273,ORD-106342,PRD2045,999,473.19,472716.81,EUR
OL500274,ORD-101269,PRD2129,5,195.88,979.4,EUR
OL500275,ORD-102477,PRD2145,1,166.65,166.65,GBP
OL500276,ORD-107738,PRD2145,4,99.4,397.6,NGN
OL500277,ORD-108239,PRD2008,999,449.94,449490.06,NGN
OL500278,ORD-106966,PRD2145,3,271.06,813.18,usd
OL500279,ORD-107397,PRD9417,999,196.48,196283.52,NGN
OL500280,ORD-106390,PRD2227,1,365.74,365.74,usd
OL500281,ORD-105884,PRD2015,999,86.76,86673.24,usd
OL500282,ORD-105744,PRD2172,1,247.83,247.83,NGN
OL500283,ORD-104866,PRD2207,1,41.68,41.68,USD
OL500284,ORD-103259,PRD2069,-1,193.95,,usd
OL500285,ORD-101018,PRD2125,3,447.77,1343.31,USD
OL500286,ORD-101662,PRD2185,999,439.91,439470.09,EUR
OL500287,ORD-100494,PRD2246,4,434.8,1739.2,EUR
OL500288,ORD-107128,PRD2041,999,307.14,306832.86,usd
OL500289,ORD-101437,PRD2096,2,493.08,986.16,US Dollar
OL500290,ORD-101772,PRD2082,5,483.61,2418.05,NGN
OL500291,ORD-103249,PRD2031,4,491.36,1965.44,US Dollar
OL500292,ORD-100401,PRD2078,4,50.73,202.92,EUR
OL500293,ORD-105860,PRD2245,1,359.38,359.38,GBP
OL500294,ORD-106855,PRD2249,3,104.09,312.27,EUR
OL500295,ORD-104402,PRD2010,5,$272.37,1361.85,NGN
OL500296,ORD-100083,PRD2108,5,218.74,1093.7,usd
OL500297,ORD-108311,PRD2019,3,$146.88,440.64,US Dollar
OL500298,ORD-100652,PRD2046,5,71.29,356.45,EUR
OL500299,ORD-105862,PRD2144,1,246.65,246.65,USD
OL500300,ORD-101863,PRD2205,4,132.71,530.84,US Dollar
OL500301,ORD-107641,PRD2249,3,380.59,1141.77,GBP
OL500302,ORD-106193,PRD2117,1,110.83,110.83,NGN
OL500303,ORD-104147,PRD2173,5,24.64,123.2,USD
OL500304,ORD-101078,PRD2086,2,383.02,766.04,usd
OL500305,ORD-105184,PRD2194,3,270.94,812.82,US Dollar
OL500306,ORD-101433,PRD2218,1,407.75,407.75,NGN
OL500307,ORD-107492,PRD2126,4,249.5,998.0,GBP
OL500308,ORD-105540,PRD2193,2,463.77,927.54,EUR
OL500309,ORD-105722,PRD2069,5,161.0,805.0,USD
OL500310,ORD-100886,PRD2212,4,10.43,41.72,USD
OL500311,ORD-101711,PRD2122,2,487.69,975.38,US Dollar
OL500312,ORD-102899,PRD9721,1,153.96,153.96,USD
OL500313,ORD-100246,PRD2038,3,464.33,1392.99,NGN
OL500314,ORD-102509,PRD2186,1,268.26,268.26,GBP
OL500315,ORD-105942,PRD2034,5,289.52,1447.6,GBP
OL500316,ORD-100994,PRD2063,2,489.09,978.18,EUR
OL500317,ORD-100931,PRD2208,-1,34.66,,EUR
OL500318,ORD-106562,PRD2207,1,83.75,83.75,usd
OL500319,ORD-106570,PRD2126,2,99.41,198.82,US Dollar
OL500320,ORD-108074,PRD2067,2,$442.92,885.84,US Dollar
OL500321,ORD-104661,PRD2187,1,241.1,241.1,USD
OL500322,ORD-104077,PRD2171,5,$320.69,1603.45,GBP
OL500323,ORD-101295,PRD2134,5,491.61,2458.05,USD
OL500324,ORD-100626,PRD2223,-1,118.88,,usd
OL500325,ORD-103174,PRD2055,4,404.46,1617.84,US Dollar
OL500326,ORD-101385,PRD2143,4,388.09,1552.36,NGN
OL500327,ORD-100114,PRD2075,1,127.09,127.09,USD
OL500328,ORD-101042,PRD2066,4,23.01,92.04,USD
OL500329,ORD-103049,PRD2106,3,377.27,1131.81,GBP
OL500330,ORD-103986,PRD2116,2,$394.06,788.12,US Dollar
OL500331,ORD-104283,PRD2163,2,235.37,470.74,usd
OL500332,ORD-107642,PRD2028,999,395.54,395144.46,usd
OL500333,ORD-104608,PRD2211,2,40.51,81.02,GBP
OL500334,ORD-102182,PRD2212,0,150.75,,USD
OL500335,ORD-104221,PRD2237,2,461.04,922.08,usd
OL500336,ORD-102354,PRD2027,-1,$385.66,,USD
OL500337,ORD-105642,PRD2104,2,85.96,171.92,US Dollar
OL500338,ORD-102015,PRD2095,999,94.28,94185.72,US Dollar
OL500339,ORD-100853,PRD2223,4,462.59,1850.36,NGN
OL500340,ORD-100877,PRD2185,3,$345.8,1037.4,NGN
OL500341,ORD-108807,PRD2078,999,360.86,360499.14,US Dollar
OL500342,ORD-105438,PRD2199,3,380.14,1140.42,GBP
OL500343,ORD-103133,PRD2080,0,186.36,,GBP
OL500344,ORD-103019,PRD2104,5,96.67,483.35,NGN
OL500345,ORD-100185,PRD2067,1,494.95,494.95,NGN
OL500346,ORD-108465,PRD2073,-1,401.25,,GBP
OL500347,ORD-107735,PRD2031,4,178.31,713.24,US Dollar
OL500348,ORD-108046,PRD2129,-1,139.84,,US Dollar
OL500349,ORD-102605,PRD2226,0,424.79,,USD
OL500350,ORD-104192,PRD2029,5,257.33,1286.65,NGN
OL500351,ORD-100022,PRD2230,5,151.33,756.65,EUR
OL500352,ORD-102321,PRD2245,2,197.21,394.42,EUR
OL500353,ORD-105402,PRD2208,5,$434.45,2172.25,EUR
OL500354,ORD-102427,PRD2160,2,66.39,132.78,NGN
OL500355,ORD-105532,PRD2120,5,$74.76,373.8,EUR
OL500356,ORD-104839,PRD2249,999,343.91,343566.09,GBP
OL500357,ORD-106123,PRD2012,1,$103.97,103.97,NGN
OL500358,ORD-106000,PRD2079,999,489.13,488640.87,NGN
OL500359,ORD-101877,PRD2162,999,174.35,174175.65,NGN
OL500360,ORD-100708,PRD2177,1,290.21,290.21,NGN
OL500361,ORD-107522,PRD2186,0,124.63,,US Dollar
OL500362,ORD-100866,PRD2044,999,153.37,153216.63,EUR
OL500363,ORD-104811,PRD2188,2,443.93,887.86,EUR
OL500364,ORD-103274,PRD2041,4,351.48,1405.92,GBP
OL500365,ORD-104277,PRD2139,2,94.68,189.36,US Dollar
OL500366,ORD-101613,PRD2019,2,374.85,749.7,GBP
OL500367,ORD-104342,PRD2126,1,331.54,331.54,usd
OL500368,ORD-100840,PRD2151,0,273.3,,usd
OL500369,ORD-102023,PRD2149,0,$110.92,,USD
OL500370,ORD-104009,PRD2211,3,$299.0,897.0,US Dollar
OL500371,ORD-103019,PRD2106,4,254.75,1019.0,GBP
OL500372,ORD-103195,PRD2120,4,286.22,1144.88,NGN
OL500373,ORD-100948,PRD2192,4,108.0,432.0,NGN
OL500374,ORD-103325,PRD2056,5,$452.29,2261.45,USD
OL500375,ORD-104318,PRD2201,4,263.54,1054.16,NGN
OL500376,ORD-107077,PRD2063,0,243.02,,EUR
OL500377,ORD-107668,PRD2248,5,187.52,937.6,EUR
OL500378,ORD-106559,PRD2241,5,397.65,1988.25,GBP
OL500379,ORD-103555,PRD2194,2,$428.1,856.2,usd
OL500380,ORD-102596,PRD2044,1,9.92,9.92,EUR
OL500381,ORD-107439,PRD2234,0,438.87,,US Dollar
OL500382,ORD-106964,PRD2023,5,238.81,1194.05,EUR
OL500383,ORD-104295,PRD2226,1,$367.17,367.17,GBP
OL500384,ORD-106306,PRD2226,2,14.2,28.4,US Dollar
OL500385,ORD-100240,PRD2097,3,278.18,834.54,EUR
OL500386,ORD-106158,PRD2175,5,242.93,1214.65,US Dollar
OL500387,ORD-104937,PRD2118,3,371.4,1114.2,EUR
OL500388,ORD-102247,PRD2038,3,181.62,544.86,US Dollar
OL500389,ORD-107226,PRD2110,-1,39.12,,GBP
OL500390,ORD-105855,PRD2063,4,$280.83,1123.32,usd
OL500391,ORD-103815,PRD2180,1,$245.17,245.17,EUR
OL500392,ORD-105450,PRD2123,5,437.65,2188.25,usd
OL500393,ORD-104551,PRD2099,1,$207.07,207.07,NGN
OL500394,ORD-102436,PRD2161,2,281.51,563.02,US Dollar
OL500395,ORD-107863,PRD2224,4,126.7,506.8,GBP
OL500396,ORD-106749,PRD2027,5,$22.07,110.35,EUR
OL500397,ORD-108917,PRD2134,5,214.56,1072.8,GBP
OL500398,ORD-106115,PRD2106,1,$194.09,194.09,GBP
OL500399,ORD-104836,PRD2193,3,429.73,1289.19,usd
OL500400,ORD-106127,PRD2135,3,$167.68,503.04,GBP
OL500401,ORD-100235,PRD2244,999,255.27,255014.73,GBP
OL500402,ORD-108459,PRD2085,5,153.95,769.75,NGN
OL500403,ORD-100267,PRD2227,3,244.51,733.53,USD
OL500404,ORD-106556,PRD2195,3,484.37,1453.11,GBP
OL500405,ORD-108805,PRD2106,4,470.42,1881.68,GBP
OL500406,ORD-103622,PRD2241,0,424.81,,EUR
OL500407,ORD-108338,PRD2212,4,138.61,554.44,US Dollar
OL500408,ORD-100022,PRD9985,1,286.31,286.31,US Dollar
OL500409,ORD-101523,PRD2092,5,141.92,709.6,EUR
OL500410,ORD-108690,PRD2139,5,174.48,872.4,NGN
OL500411,ORD-102400,PRD2218,2,215.16,430.32,GBP
OL500412,ORD-108401,PRD2178,2,392.96,785.92,USD
OL500413,ORD-108665,PRD2092,-1,$467.95,,NGN
OL500414,ORD-106867,PRD2038,4,483.45,1933.8,NGN
OL500415,ORD-107673,PRD2212,5,108.42,542.1,usd
OL500416,ORD-105859,PRD2177,1,$434.12,434.12,NGN
OL500417,ORD-104235,PRD2097,5,265.69,1328.45,USD
OL500418,ORD-102567,PRD2102,3,324.72,974.16,EUR
OL500419,ORD-101467,PRD2209,2,92.4,184.8,EUR
OL500420,ORD-104884,PRD2151,1,348.39,348.39,USD
OL500421,ORD-101581,PRD2092,4,288.86,1155.44,GBP
OL500422,ORD-106471,PRD2133,3,354.78,1064.34,usd
OL500423,ORD-104914,PRD2221,1,407.96,407.96,GBP
OL500424,ORD-102704,PRD2242,3,207.86,623.58,EUR
OL500425,ORD-106080,PRD2195,999,368.06,367691.94,EUR
OL500426,ORD-108291,PRD2131,-1,264.28,,usd
OL500427,ORD-103095,PRD2233,999,211.34,211128.66,USD
OL500428,ORD-103612,PRD2144,5,$406.23,2031.15,NGN
OL500429,ORD-104736,PRD2129,1,59.93,59.93,EUR
OL500430,ORD-103105,PRD2146,4,50.27,201.08,usd
OL500431,ORD-100458,PRD2127,1,18.96,18.96,US Dollar
OL500432,ORD-102352,PRD2130,4,370.94,1483.76,US Dollar
