ReturnID,Order_ID ,Return Date,Reason,Refund Amount,Restocked?
RET700042,ORD-100798,21/06/2026,Wrong Item,233.77,N
RET700043,ORD-108458,"May 14, 2026",Late Delivery,$90.62,N
RET700044,ORD-108923,07/24/2025,Defective,270.05,No
RET700045,ORD-102974,2025-02-12,Wrong Item,-99.97,
RET700046,ORD-107564,2025/10/19,Changed Mind,$95.15,Yes
RET700047,ORD-100479,2025-06-23,No Longer Needed,$163.44,unknown
RET700048,ORD-101046,"January 26, 2024",Changed Mind,81.15,unknown
RET700049,ORD-106042,2025/03/05,Damaged in Shipping,,Yes
RET700050,ORD-106951,2024-04-16,,,Y
RET700051,ORD-100572,02/11/2025,WRONG ITEM,56.31,Yes
RET700052,ORD-104648,2024-03-10,defective,,No
RET700053,ORD-100259,07-Apr-2024,Wrong Item,,No
RET700054,ORD-108989,28-May-2025,,,
RET700055,ORD-106086,01/12/2027,Defective,,Yes
RET700056,ORD-101089,09/06/2026,No Longer Needed,$70.47,
RET700057,ORD-102929,05/15/2024,Damaged in Shipping,-24.61,Yes
RET700058,ORD-100625,11/02/2024,No Longer Needed,62.68,unknown
RET700059,ORD-104371,2026-03-06,,288.22,
RET700060,ORD-108519,03/10/2025,Late Delivery,-75.85,Y
RET700061,ORD-102078,"November 06, 2024",Defective,-186.51,N
RET700062,ORD-103471,17/06/2026,defective,$292.38,Y
RET700063,ORD-102493,"August 18, 2025",Wrong Item,,No
RET700064,ORD-102238,2026/05/18,defective,-297.18,Yes
RET700065,ORD-101097,12/03/2024,Changed Mind,38.97,Yes
RET700066,ORD-103281,10/14/2025,Damaged in Shipping,-53.04,No
RET700067,ORD-105511,08/12/2025,WRONG ITEM,-105.11,unknown
RET700068,ORD-104182,04/16/2024,WRONG ITEM,-192.17,N
RET700069,ORD-106208,10/06/2025,Late Delivery,67.82,
RET700070,ORD-106571,2024-01-29,Changed Mind,,unknown
RET700071,ORD-106736,30/01/2024,Wrong Item,134.55,unknown
RET700072,ORD-108524,09/13/2025,Late Delivery,-209.95,
RET700073,ORD-106849,2026-07-01,defective,-17.32,Yes
RET700074,ORD-104741,"July 08, 2025",Damaged in Shipping,275.5,No
RET700075,ORD-101113,10/11/2025,,-50.0,Yes
RET700076,ORD-102446,"April 04, 2027",,$205.93,N
RET700077,ORD-107241,19-Nov-2025,Changed Mind,-39.95,N
RET700078,ORD-101078,30/10/2024,,,Y
RET700079,ORD-106763,2026-06-03,Wrong Item,$87.83,unknown
RET700080,ORD-108420,17/12/2025,,200.25,No
RET700081,ORD-104506,07/24/2026,Late Delivery,-135.26,
RET700082,ORD-108537,19-Apr-2025,Wrong Item,,Y
RET700083,ORD-102394,2024/06/26,Late Delivery,$215.45,N
RET700084,ORD-102425,22/10/2025,WRONG ITEM,-50.53,Y
RET700085,ORD-107439,11-Feb-2024,,,N
RET700086,ORD-106996,2026-03-29,Wrong Item,,unknown
RET700087,ORD-101510,2025-13-05,defective,-24.44,Y
RET700088,ORD-101248,09/29/2025,,,No
RET700089,ORD-104795,"July 07, 2025",Late Delivery,-213.01,No
RET700090,ORD-107503,"July 09, 2024",,291.46,unknown
RET700091,ORD-100679,"November 09, 2025",Damaged in Shipping,,Yes
RET700092,ORD-102219,04/07/2024,Damaged in Shipping,$269.46,
RET700093,ORD-101713,11-Jul-2026,,-126.02,unknown
RET700094,ORD-100977,20-Aug-2025,Wrong Item,,
RET700095,ORD-102865,2024/09/08,Damaged in Shipping,,
RET700096,ORD-100434,17-Jan-2025,WRONG ITEM,,Yes
RET700097,ORD-106192,05/31/2024,No Longer Needed,,N
RET700098,ORD-100001,16/08/2024,,,Yes
RET700099,ORD-106961,"June 29, 2024",Wrong Item,-166.27,Y
RET700100,ORD-104744,07-Dec-2025,WRONG ITEM,$214.24,Y
RET700101,ORD-103552,"September 06, 2024",,-173.99,N
RET700102,ORD-104337,2025-05-27,,,N
RET700103,ORD-108274,"November 13, 2024",,222.38,N
RET700104,ORD-100134,16/06/2025,,$122.58,N
RET700105,ORD-106155,05-Oct-2025,defective,88.07,No
RET700106,ORD-105587,23/05/2026,,-22.57,unknown
RET700107,ORD-106481,25-Jan-2025,Wrong Item,,unknown
RET700108,ORD-101779,2024-12-23,defective,$81.57,Y
RET700109,ORD-102092,2025-12-18,Changed Mind,218.97,unknown
RET700110,ORD-107386,06/11/2025,,51.71,Y
RET700111,ORD-102291,08-Mar-2025,defective,173.11,Yes
RET700112,ORD-105658,2026/02/28,No Longer Needed,$256.11,No
RET700113,ORD-100995,2025-04-31,Defective,$180.67,Y
RET700114,ORD-107827,2025-09-20,,,No
RET700115,ORD-104308,2024-04-25,WRONG ITEM,$114.56,Y
RET700116,ORD-106221,05/05/2026,No Longer Needed,88.0,
RET700117,ORD-102191,21/03/2026,Damaged in Shipping,-266.14,
RET700118,ORD-101641,2024/09/23,Wrong Item,,Yes
RET700119,ORD-106044,14/05/2024,No Longer Needed,,unknown
RET700120,ORD-102026,04/11/2024,Damaged in Shipping,,unknown
RET700121,ORD-103746,10/06/2025,,$293.8,No
RET700122,ORD-103725,24-Jun-2025,No Longer Needed,$180.11,Yes
RET700123,ORD-107374,2025-12-10,No Longer Needed,$22.83,Yes
RET700124,ORD-100627,11/17/2025,,-221.85,Yes
RET700125,ORD-104855,"June 06, 2025",,$12.22,
RET700126,ORD-107702,2024/02/23,Changed Mind,,No
RET700127,ORD-100235,05-Oct-2024,,$296.53,
RET700128,ORD-106236,03/20/2026,defective,164.33,No
RET700129,ORD-107881,30/11/2025,Changed Mind,-299.49,Yes
RET700130,ORD-103984,2027-01-10,Changed Mind,296.97,N
RET700131,ORD-105888,03/26/2025,,,unknown
RET700132,ORD-106159,"February 14, 2025",Defective,$219.62,unknown
RET700133,ORD-101278,2025-11-11,Changed Mind,175.44,Y
RET700134,ORD-104398,"September 09, 2024",WRONG ITEM,,N
RET700135,ORD-108592,2024/08/19,WRONG ITEM,,No
RET700136,ORD-102814,2026/01/19,WRONG ITEM,$18.61,
RET700137,ORD-106789,05/04/2025,Wrong Item,-274.16,N
RET700138,ORD-102756,03/26/2024,,,Y
RET700139,ORD-108216,14/05/2024,Wrong Item,,unknown
RET700140,ORD-107210,2024-01-16,,$58.88,unknown
RET700141,ORD-102741,"October 02, 2024",Damaged in Shipping,,Y
RET700142,ORD-108299,2024/04/28,defective,,N
RET700143,ORD-107503,2025-13-05,Late Delivery,$132.71,Y
RET700144,ORD-105964,10-Jun-2025,Wrong Item,-23.02,unknown
RET700145,ORD-105677,20-Jun-2026,,-230.9,N
RET700146,ORD-102531,2025-12-25,Wrong Item,,Y
RET700147,ORD-108694,23-Oct-2024,,60.97,unknown
RET700148,ORD-100718,2025/05/07,No Longer Needed,-12.02,unknown
RET700149,ORD-101957,"October 19, 2025",No Longer Needed,$195.43,
RET700150,ORD-100100,28-May-2024,Late Delivery,-249.94,Y
RET700151,ORD-102916,01/30/2024,No Longer Needed,$236.55,Y
RET700152,ORD-103609,2024/10/14,,198.88,unknown
RET700153,ORD-103105,"April 19, 2025",Late Delivery,70.7,Yes
RET700154,ORD-100417,"May 27, 2026",Wrong Item,-103.62,Yes
RET700155,ORD-100974,27/07/2024,Changed Mind,$116.44,Y
RET700156,ORD-103805,"July 25, 2026",No Longer Needed,28.39,Y
RET700157,ORD-108235,2025-06-02,Damaged in Shipping,-131.9,unknown
RET700158,ORD-103074,11/18/2025,,,
RET700159,ORD-102242,12-Dec-2025,Wrong Item,266.83,Yes
RET700160,ORD-108374,01-Jul-2024,Wrong Item,$189.47,N
RET700161,ORD-107696,21/02/2026,,,No
RET700162,ORD-107696,28/10/2025,,-182.76,unknown
RET700163,ORD-108908,12/27/2024,Changed Mind,188.33,Y
RET700164,ORD-105574,29-Jul-2025,Defective,$164.37,
RET700165,ORD-103078,08/17/2024,,$79.85,unknown
RET700166,ORD-103341,2026-02-17,defective,-122.28,
RET700167,ORD-108661,10/08/2024,,$203.4,
RET700168,ORD-108371,"May 27, 2025",Late Delivery,-151.03,unknown
RET700169,ORD-101722,12-Nov-2025,Defective,-273.35,Y
RET700170,ORD-101520,2024/01/25,Defective,-152.68,Y
RET700171,ORD-107744,2025-08-09,Defective,$146.06,Y
RET700172,ORD-105207,2025/08/22,Late Delivery,,Y
RET700173,ORD-100558,07/22/2026,Defective,188.91,
RET700174,ORD-100728,2025/05/26,Damaged in Shipping,-215.05,Y
RET700175,ORD-104347,2025/09/16,No Longer Needed,$171.32,Y
RET700176,ORD-101952,03/03/2025,WRONG ITEM,$176.31,unknown
RET700177,ORD-100450,05-Feb-2025,Defective,175.87,
RET700178,ORD-104316,2025-13-05,Wrong Item,-87.45,Yes
RET700179,ORD-103905,2025/03/03,Defective,,unknown
RET700180,ORD-102136,09-Jul-2025,No Longer Needed,$283.91,N
RET700181,ORD-106143,2025/01/17,Late Delivery,-50.26,
RET700182,ORD-100885,18/08/2024,Wrong Item,-283.89,Yes
RET700183,ORD-105036,19/09/2025,No Longer Needed,,Y
RET700184,ORD-102977,"October 19, 2025",Changed Mind,$287.78,unknown
RET700185,ORD-106489,2025-07-07,,$225.68,N
RET700186,ORD-103888,"June 09, 2025",Damaged in Shipping,-113.52,No
RET700187,ORD-107839,2026/04/11,WRONG ITEM,-217.69,
RET700188,ORD-101132,2024/04/18,Changed Mind,224.4,unknown
RET700189,ORD-108505,2025-06-12,Late Delivery,,No
RET700190,ORD-104156,"August 04, 2025",Defective,-271.18,unknown
RET700191,ORD-100244,2026/02/17,defective,-72.9,unknown
RET700192,ORD-105132,2026-04-27,,-91.82,Yes
RET700193,ORD-105523,02-Oct-2025,defective,55.43,unknown
RET700194,ORD-108740,14/01/2026,Damaged in Shipping,-58.99,
RET700195,ORD-101020,09-Aug-2027,Wrong Item,,unknown
RET700196,ORD-104679,05/05/2026,WRONG ITEM,$245.74,
RET700197,ORD-108851,"March 21, 2024",,$204.92,No
RET700198,ORD-105554,2024-05-31,,,N
RET700199,ORD-101728,"April 23, 2025",No Longer Needed,,Yes
RET700200,ORD-108186,2024-02-26,No Longer Needed,286.07,
RET700201,ORD-106358,2026/03/08,No Longer Needed,,unknown
RET700202,ORD-107423,19-Mar-2026,No Longer Needed,,unknown
RET700203,ORD-103744,09/04/2026,Wrong Item,83.53,
RET700204,ORD-105590,27-May-2025,No Longer Needed,61.33,Yes
RET700205,ORD-101499,09/12/2025,,-97.36,N
RET700206,ORD-106897,2025/12/19,Wrong Item,-23.01,No
RET700207,ORD-101664,30-Aug-2025,Defective,,N
RET700208,ORD-102967,"August 28, 2025",WRONG ITEM,135.61,Yes
RET700209,ORD-101963,03/23/2026,Changed Mind,101.06,N
RET700210,ORD-103092,"February 16, 2025",,,N
RET700211,ORD-102220,2024/11/06,Wrong Item,39.88,Y
RET700212,ORD-107480,"April 13, 2026",Damaged in Shipping,-14.9,Yes
RET700213,ORD-101345,2025/06/18,Defective,$25.87,unknown
RET700214,ORD-104144,2025-06-12,defective,$37.06,unknown
RET700215,ORD-105966,23-Jul-2025,,224.08,unknown
RET700216,ORD-101398,2024-06-22,Changed Mind,,Y
RET700217,ORD-106546,15-Jul-2026,Wrong Item,-43.8,
RET700218,ORD-106570,2024/03/27,,$47.42,Yes
RET700219,ORD-103313,2026/02/08,Wrong Item,,No
RET700220,ORD-108437,04/05/2025,Damaged in Shipping,14.2,No
RET700221,ORD-100490,2026/04/16,Damaged in Shipping,$107.04,Y
RET700222,ORD-101655,2026/07/18,No Longer Needed,280.37,
RET700223,ORD-100688,27-May-2025,,-83.8,unknown
RET700224,ORD-103349,08/06/2025,,-16.86,No
RET700225,ORD-106794,02/23/2025,Defective,,
RET700226,ORD-101249,"December 27, 2027",Wrong Item,-62.49,Y
RET700227,ORD-106572,2025/12/13,Damaged in Shipping,$242.62,N
RET700228,ORD-106304,2026/05/20,Late Delivery,$21.35,N
RET700229,ORD-106257,"February 15, 2026",Defective,56.65,No
RET700230,ORD-107163,2024/04/27,Damaged in Shipping,149.7,unknown
RET700231,ORD-105814,"May 16, 2025",Wrong Item,,
RET700232,ORD-103326,2024/02/13,WRONG ITEM,,
RET700233,ORD-105014,18/02/2024,Defective,-75.37,
RET700234,ORD-103107,"January 28, 2024",Wrong Item,$172.38,
RET700235,ORD-100897,13-Jan-2025,Changed Mind,154.28,Yes
RET700236,ORD-107548,10/24/2025,WRONG ITEM,171.52,
RET700237,ORD-103554,2024-01-28,No Longer Needed,,
RET700238,ORD-107563,2024-10-13,,,
RET700239,ORD-101955,2024-10-12,defective,$232.33,
RET700240,ORD-105961,23/07/2026,defective,,Yes
RET700241,ORD-108946,2026-05-04,Defective,$86.41,N
RET700242,ORD-103588,"July 15, 2024",Damaged in Shipping,292.71,N
RET700243,ORD-107819,04/02/2026,Changed Mind,$286.8,No
RET700244,ORD-107654,03/12/2024,,68.21,Yes
RET700245,ORD-106508,"August 05, 2024",No Longer Needed,87.28,Y
RET700246,ORD-106558,"June 29, 2024",Defective,233.09,Yes
RET700247,ORD-107808,04/06/2026,Damaged in Shipping,74.24,N
RET700248,ORD-104862,05/05/2026,Wrong Item,$15.69,unknown
RET700249,ORD-102619,2026/07/15,Defective,216.59,
RET700250,ORD-102491,18-Sep-2025,Changed Mind,-130.9,No
RET700251,ORD-106907,"July 07, 2025",defective,-32.89,unknown
RET700252,ORD-104809,2026-06-01,,$164.43,unknown
RET700253,ORD-100251,26/05/2024,,,N
RET700254,ORD-102282,2027-10-19,,296.23,Yes
RET700255,ORD-103636,27-Mar-2026,No Longer Needed,-99.52,
RET700256,ORD-104964,02-Dec-2025,Damaged in Shipping,$65.32,No
RET700257,ORD-108580,2025/12/19,Defective,262.12,N
RET700258,ORD-103423,20-Feb-2026,WRONG ITEM,$210.83,N
RET700259,ORD-107528,17-Dec-2025,Late Delivery,$89.78,Y
RET700260,ORD-105046,27/12/2025,Defective,$286.57,Yes
RET700261,ORD-103335,05/14/2024,Wrong Item,-64.35,Y
RET700262,ORD-106743,2025-09-15,Defective,-198.71,unknown
RET700263,ORD-106056,2024-12-18,,$288.02,No
RET700264,ORD-101712,2025-05-29,Changed Mind,$236.73,Y
RET700265,ORD-102990,2024/11/22,Wrong Item,,N
RET700266,ORD-105905,05/01/2026,Changed Mind,,
RET700267,ORD-108114,2025/10/14,defective,$243.71,
RET700268,ORD-106649,08/01/2025,Late Delivery,163.95,No
RET700269,ORD-100243,"August 07, 2025",WRONG ITEM,$151.87,Y
RET700270,ORD-102061,2025/12/08,Changed Mind,$67.78,unknown
RET700271,ORD-106967,"June 04, 2026",Changed Mind,48.8,Y
RET700272,ORD-102785,2026-05-14,,-11.68,Y
RET700273,ORD-108918,2025-02-30,,-49.32,Y
RET700274,ORD-107338,08/02/2025,defective,$224.85,
RET700275,ORD-108100,17/08/2025,No Longer Needed,126.66,
RET700276,ORD-102143,2026-05-24,Changed Mind,-149.76,N
RET700277,ORD-100832,"June 03, 2024",defective,,No
RET700278,ORD-105618,16/03/2024,,,N
RET700279,ORD-102693,05/16/2024,Late Delivery,-264.78,Y
RET700280,ORD-101487,2024/10/23,WRONG ITEM,$264.45,N
RET700281,ORD-108341,"March 23, 2024",Late Delivery,,
RET700282,ORD-108063,17-May-2025,Changed Mind,$17.85,
RET700283,ORD-107922,2024-07-18,defective,184.14,
RET700284,ORD-100968,"May 24, 2024",Changed Mind,87.35,Y
RET700285,ORD-105929,03/28/2025,Damaged in Shipping,,
RET700286,ORD-101305,09/26/2025,Changed Mind,,Yes
RET700287,ORD-103516,2025-13-05,Late Delivery,$104.51,N
RET700288,ORD-106973,10/25/2024,Wrong Item,-184.69,Yes
RET700289,ORD-106022,2024/11/26,,258.8,Yes
RET700290,ORD-101571,"November 29, 2024",,,Yes
RET700291,ORD-103236,2024-06-23,Defective,223.48,N
RET700292,ORD-102943,2026-01-25,,$175.88,
RET700293,ORD-100910,05/05/2025,defective,-282.87,Yes
RET700294,ORD-103613,2025/02/06,Damaged in Shipping,$40.59,
RET700295,ORD-100661,2025/06/21,defective,49.23,
RET700296,ORD-106722,16-Nov-2025,No Longer Needed,$138.57,unknown
RET700297,ORD-107626,2024/07/28,Defective,$172.18,Y
RET700298,ORD-106005,03/18/2024,Wrong Item,,
RET700299,ORD-105909,2025-04-20,WRONG ITEM,$175.49,
RET700300,ORD-101137,05-Apr-2024,Late Delivery,15.78,unknown
RET700301,ORD-104377,01/01/2025,Late Delivery,-171.28,Yes
RET700302,ORD-104705,26/11/2025,Late Delivery,,N
RET700303,ORD-106103,"January 16, 2025",,28.74,Yes
RET700304,ORD-102231,23/12/2025,Damaged in Shipping,$73.76,Y
RET700305,ORD-108788,15-Jul-2026,WRONG ITEM,,No
RET700306,ORD-101680,16-Nov-2025,Changed Mind,-87.78,
RET700307,ORD-106542,2025/09/11,Damaged in Shipping,255.71,N
RET700308,ORD-107603,"October 03, 2024",Damaged in Shipping,,Yes
RET700309,ORD-107748,19/07/2024,Wrong Item,-183.81,No
RET700310,ORD-101128,24-Oct-2024,WRONG ITEM,,N
RET700311,ORD-108808,02/01/2024,No Longer Needed,$55.06,N
RET700312,ORD-102397,29-Jul-2025,Changed Mind,-206.0,N
RET700313,ORD-103373,11/11/2024,WRONG ITEM,,Y
RET700314,ORD-108664,2026/02/28,Damaged in Shipping,-161.75,Yes
RET700315,ORD-108684,"September 21, 2024",WRONG ITEM,,Yes
RET700316,ORD-105653,06/03/2026,,-101.03,Y
RET700317,ORD-106005,06/12/2026,Wrong Item,$25.4,
RET700318,ORD-105838,14-Jan-2026,Defective,$240.21,Yes
RET700319,ORD-107663,2024/08/21,Damaged in Shipping,$109.06,No
RET700320,ORD-102568,"July 09, 2026",Damaged in Shipping,,Yes
RET700321,ORD-103987,01-Aug-2024,No Longer Needed,$263.66,Y
RET700322,ORD-105561,28/02/2025,WRONG ITEM,-74.2,Yes
RET700323,ORD-101184,07/02/2026,No Longer Needed,-241.89,
RET700324,ORD-104538,2026-05-05,WRONG ITEM,,unknown
RET700325,ORD-105438,2024-12-09,No Longer Needed,-94.21,
RET700326,ORD-108153,"October 11, 2025",,-173.37,N
RET700327,ORD-100436,19/11/2025,Defective,,unknown
RET700328,ORD-104030,2026-07-22,defective,-247.03,Yes
RET700329,ORD-105155,17-Jul-2024,Changed Mind,$71.71,No
RET700330,ORD-104029,07/04/2024,defective,,unknown
RET700331,ORD-107564,06/12/2025,WRONG ITEM,-255.49,Yes
RET700332,ORD-101825,2025/09/15,Damaged in Shipping,$249.77,unknown
RET700333,ORD-104388,07/17/2025,,,unknown
RET700334,ORD-101811,"August 24, 2024",defective,183.93,Y
RET700335,ORD-107142,"January 03, 2026",No Longer Needed,,unknown
RET700336,ORD-103433,09/09/2025,WRONG ITEM,,
RET700337,ORD-102967,08/04/2025,WRONG ITEM,121.79,Y
RET700338,ORD-103849,06-Feb-2026,,44.11,
RET700339,ORD-102146,2026-03-13,Wrong Item,211.0,
RET700340,ORD-100273,02-Dec-2024,Changed Mind,$14.56,Yes
RET700341,ORD-105288,2025/06/16,defective,$28.85,Y
RET700342,ORD-108535,07/05/2026,Wrong Item,-29.94,
RET700343,ORD-100285,2026/04/09,,$195.6,Y
RET700344,ORD-107291,10/10/2025,Changed Mind,209.72,N
RET700345,ORD-106190,12/06/2025,Changed Mind,$295.82,unknown
RET700346,ORD-102071,05/19/2025,Defective,61.57,No
RET700347,ORD-108794,02-Apr-2024,No Longer Needed,-66.43,unknown
RET700348,ORD-108857,24-Nov-2024,WRONG ITEM,$110.26,Yes
RET700349,ORD-106738,"May 21, 2026",Defective,,N
RET700350,ORD-102901,2024-10-11,No Longer Needed,181.6,No
RET700351,ORD-106051,"September 04, 2025",defective,30.95,N
RET700352,ORD-106980,2026/04/27,No Longer Needed,,No
RET700353,ORD-107763,2024/06/10,defective,17.19,
RET700354,ORD-102888,30/12/2025,Defective,$29.46,Yes
RET700355,ORD-103936,09/01/2025,WRONG ITEM,15.14,unknown
RET700356,ORD-100411,23-Jun-2025,Changed Mind,$44.28,Yes
RET700357,ORD-106211,"July 15, 2024",Late Delivery,-93.98,
RET700358,ORD-101597,"May 19, 2025",Changed Mind,-231.73,Y
RET700359,ORD-104982,2026-02-09,Late Delivery,,N
RET700360,ORD-103223,2025/10/02,Defective,$155.92,No
RET700361,ORD-108816,06/05/2024,Damaged in Shipping,$27.65,Yes
RET700362,ORD-101032,"March 28, 2024",defective,$134.89,
RET700363,ORD-107839,2026-05-04,Defective,28.66,Yes
RET700364,ORD-103976,04/15/2026,,-162.95,Y
RET700365,ORD-107607,03/22/2025,Late Delivery,-59.83,unknown
RET700366,ORD-103098,09/06/2025,,-215.13,Yes
RET700367,ORD-105620,2024/11/09,Defective,-184.58,No
RET700368,ORD-107005,"August 22, 2025",defective,,N
RET700369,ORD-102486,03/12/2025,Damaged in Shipping,-46.07,unknown
RET700370,ORD-102659,23/10/2024,Late Delivery,$30.4,Y
RET700371,ORD-107266,2025-10-22,defective,230.3,N
RET700372,ORD-106656,2024/11/20,Damaged in Shipping,11.58,unknown
RET700373,ORD-108426,"January 01, 2025",,,
RET700374,ORD-103697,08-Aug-2027,WRONG ITEM,195.86,unknown
RET700375,ORD-102795,23-Jun-2024,Wrong Item,$28.14,Yes
RET700376,ORD-108363,2024/07/03,,60.04,
RET700377,ORD-106772,2025/01/31,Changed Mind,-115.16,No
RET700378,ORD-102062,"November 19, 2027",Defective,,unknown
RET700379,ORD-105559,01/04/2024,Wrong Item,-128.07,Y
RET700380,ORD-100417,08-Mar-2025,,293.62,unknown
RET700381,ORD-106593,"October 19, 2025",,$79.33,Y
RET700382,ORD-102363,07/09/2025,Damaged in Shipping,$23.3,Yes
RET700383,ORD-105515,"September 16, 2024",Defective,$179.61,N
RET700384,ORD-108591,26-Apr-2026,Late Delivery,$280.71,Y
RET700385,ORD-105943,27-Feb-2025,defective,,N
RET700386,ORD-100973,2025-06-20,Defective,285.16,unknown
RET700387,ORD-100927,2026-07-19,,$70.49,Yes
RET700388,ORD-107429,31/05/2025,Late Delivery,278.49,N
RET700389,ORD-106398,18/08/2025,Defective,207.54,No
RET700390,ORD-102116,12-May-2025,Changed Mind,96.65,unknown
RET700391,ORD-104034,2025-13-05,,$282.16,Y
RET700392,ORD-104789,2024-09-29,Defective,,N
RET700393,ORD-105131,"January 09, 2026",Defective,-177.42,Y
RET700394,ORD-108074,2025-09-03,Late Delivery,-144.56,N
RET700395,ORD-105411,14-Aug-2024,Late Delivery,-196.87,
RET700396,ORD-102496,2025-12-26,Damaged in Shipping,-193.12,Yes
RET700397,ORD-100203,2025-05-01,Damaged in Shipping,,No
RET700398,ORD-103578,26/04/2025,defective,-42.72,Y
RET700399,ORD-105997,"September 07, 2024",No Longer Needed,200.5,
RET700400,ORD-108301,14/08/2024,Late Delivery,,Yes
RET700401,ORD-108495,10/26/2024,defective,,Y
RET700402,ORD-104904,2025/10/09,Changed Mind,177.73,unknown
RET700403,ORD-100749,2025/10/28,WRONG ITEM,241.96,
RET700404,ORD-102323,2024-12-30,WRONG ITEM,,
RET700405,ORD-101850,02/04/2026,defective,,N
RET700406,ORD-101192,07-Sep-2025,Late Delivery,$252.17,N
RET700407,ORD-108883,07/25/2025,defective,,N
RET700408,ORD-103492,18/12/2025,defective,-121.67,Yes
RET700409,ORD-108796,2024/08/11,Changed Mind,,
RET700410,ORD-100176,30/01/2024,WRONG ITEM,148.79,unknown
RET700411,ORD-104263,28/12/2024,WRONG ITEM,-207.81,unknown
RET700412,ORD-107642,12-Mar-2024,defective,-220.44,N
RET700413,ORD-107181,2024-02-08,Late Delivery,$213.5,Y
RET700414,ORD-101186,2025-05-28,defective,31.47,
RET700415,ORD-105412,01/18/2024,,-5.96,No
RET700416,ORD-105112,11/26/2025,,254.74,No
RET700417,ORD-104205,08-May-2025,,$29.62,
RET700418,ORD-106669,07-Oct-2024,WRONG ITEM,-10.36,Y
RET700419,ORD-107788,"September 08, 2025",,,Yes
RET700420,ORD-107691,30/09/2025,Late Delivery,29.7,Y
RET700421,ORD-105128,10/04/2026,Damaged in Shipping,-141.99,Yes
RET700422,ORD-107888,"March 27, 2026",Damaged in Shipping,-178.03,Yes
RET700423,ORD-101965,2024-04-09,Wrong Item,229.52,N
RET700424,ORD-106622,"May 17, 2025",Changed Mind,-79.75,Yes
RET700425,ORD-104075,07/27/2025,WRONG ITEM,226.88,
RET700426,ORD-104079,11-May-2026,,256.86,unknown
RET700427,ORD-105302,"June 21, 2025",Late Delivery,-48.83,No
RET700428,ORD-108156,23/04/2025,,,Yes
RET700429,ORD-100847,02/10/2024,Changed Mind,-123.69,unknown
RET700430,ORD-102963,02/23/2025,defective,-255.22,Yes
RET700431,ORD-100267,27-May-2025,defective,,Y
RET700432,ORD-106803,2026-04-10,Late Delivery,,Y
RET700433,ORD-101920,2025/12/29,Wrong Item,-252.3,N
RET700434,ORD-103481,"July 08, 2026",,,
RET700435,ORD-105265,2024/12/22,Late Delivery,$299.42,Yes
RET700436,ORD-106592,03/20/2026,No Longer Needed,200.36,unknown
RET700437,ORD-106928,30-Sep-2025,Changed Mind,$211.8,N
RET700438,ORD-102280,"October 29, 2024",Damaged in Shipping,,No
